time,code,class
34.962,w,1
39.521,q,1
53.443,w,1
54.962,q,1
71.68,w,1
86.199,q,1
130.28,w,1
141.683,p,1
150.803,o,1
152.323,w,1
205.521,q,1
207.803,w,1
210.842,o,1
212.362,w,1
216.16,o,1
218.443,p,1
230.602,o,1
232.121,w,1
239.722,o,1
240.482,p,1
255.683,o,1
257.962,w,1
259.479,q,1
261.761,w,1
266.323,q,1
279.238,w,1
286.842,q,1
287.602,w,1
289.881,q,1
302.04,p,1
308.881,q,1
314.202,p,1
322.563,o,1
324.082,p,1
327.118,q,1
354.482,p,1
356.761,q,1
359.8,p,1
373.482,q,1
378.04,p,1
390.962,q,1
393.241,w,1
394.761,q,1
406.917,w,1
408.44,o,1
409.199,p,1
416.8,q,1
419.842,p,1
438.079,q,1
445.683,w,1
451.761,q,1
475.323,w,1
495.079,q,1
498.881,w,1
500.401,o,1
500.401,p,1
508.801,q,1
513.363,p,1
525.522,q,1
529.321,p,1
536.921,q,1
556.681,p,1
565.798,q,1
577.961,p,1
586.321,q,1
588.597,p,1
603.042,q,1
603.801,p,1
606.84,q,1
608.36,p,1
611.402,q,1
612.918,p,1
623.562,q,1
660.042,w,1
662.321,q,1
679.78,END,0
