time,code,class
19.103,o,1
19.665,p,1
81.825,q,1
84.341,w,1
99.46,q,1
101.705,w,1
102.823,q,1
103.943,w,1
105.905,q,1
270.82,w,1
280.34,q,1
286.504,w,1
287.622,q,1
313.942,w,1
341.104,q,1
361.261,w,1
375.54,q,1
376.102,p,1
388.985,q,1
396.264,w,1
415.864,q,1
430.701,p,1
431.261,o,1
432.104,w,1
443.865,q,1
447.783,w,1
451.424,q,1
453.383,w,1
463.463,q,1
469.065,p,1
471.865,q,1
481.382,w,1
487.264,q,1
500.983,p,1
503.22,q,1
542.704,p,1
544.385,w,1
545.224,q,1
564.544,w,1
568.464,q,1
597.985,w,1
599.382,q,1
607.225,w,1
618.424,q,1
619.545,p,1
620.945,o,1
621.78,w,1
624.02,q,1
625.422,w,1
628.782,o,1
631.025,p,1
637.184,o,1
639.145,q,1
645.582,w,1
656.057,q,1
661.06,END,0
