time,code,class
40.182,w,1
46.061,q,1
62.301,w,1
74.9,q,1
76.865,w,1
88.068,q,1
94.784,w,1
97.303,q,1
105.705,w,1
131.46,q,1
135.102,o,1
136.505,w,1
144.062,q,1
148.545,w,1
163.945,q,1
170.945,p,1
173.743,o,1
178.225,w,1
180.185,q,1
182.141,w,1
221.902,o,1
223.302,p,1
226.94,w,1
229.184,o,1
230.025,p,1
232.82,o,1
237.585,w,1
238.98,q,1
249.905,w,1
256.063,q,1
258.304,w,1
260.54,q,1
263.345,w,1
274.263,o,1
280.14,w,1
292.464,q,1
294.141,w,1
296.94,o,1
301.422,p,1
311.504,q,1
313.462,w,1
327.58,q,1
334.865,w,1
344.102,q,1
345.502,p,1
358.382,o,1
359.783,p,1
362.024,o,1
364.543,w,1
379.102,q,1
381.621,w,1
389.183,q,1
390.301,p,1
395.623,q,1
398.983,p,1
420.545,q,1
423.342,w,1
432.585,o,1
433.985,p,1
438.464,w,1
449.104,q,1
450.224,p,1
451.345,q,1
453.865,p,1
456.66,q,1
683.744,w,1
697.28,q,1
699.173,END,0
