time,code,class
32.103,w,1
46.664,q,1
48.623,w,1
78.02,q,1
84.46,w,1
115.264,q,1
116.94,w,1
135.701,q,1
136.824,w,1
151.385,q,1
155.02,w,1
173.26,q,1
181.384,w,1
184.745,o,1
193.704,w,1
206.585,q,1
208.541,w,1
220.304,o,1
221.705,p,1
234.862,w,1
244.381,p,1
254.741,o,1
256.142,w,1
272.942,p,1
282.465,w,1
287.222,q,1
288.903,w,1
290.86,q,1
292.825,w,1
305.144,p,1
316.905,w,1
325.024,q,1
332.304,w,1
333.98,q,1
345.745,o,1
347.141,p,1
359.181,w,1
362.264,q,1
372.064,p,1
380.465,w,1
389.143,q,1
395.021,p,1
398.385,o,1
400.34,q,1
409.305,w,1
417.704,q,1
424.145,w,1
439.542,q,1
459.704,p,1
462.504,q,1
468.942,p,1
480.142,o,1
484.624,w,1
491.623,q,1
498.904,p,1
501.984,q,1
519.062,p,1
522.704,o,1
524.661,p,1
533.064,w,1
539.505,q,1
554.343,p,1
555.181,q,1
573.385,p,1
576.462,q,1
606.145,o,1
610.901,p,1
619.865,w,1
624.625,q,1
631.9,p,1
645.344,q,1
652.623,p,1
665.935,w,1
667.38,END,0
