time,code,class
17.705,w,1
58.861,q,1
62.225,w,1
89.104,q,1
96.383,w,1
101.98,q,1
114.862,w,1
122.703,q,1
125.501,w,1
132.22,q,1
137.825,w,1
142.582,q,1
148.181,p,1
148.744,o,1
151.821,p,1
157.424,o,1
158.822,q,1
159.66,w,1
170.86,q,1
175.343,w,1
176.745,q,1
197.744,p,1
199.422,q,1
212.021,p,1
224.621,w,1
233.021,q,1
244.782,w,1
247.304,o,1
250.101,p,1
256.541,q,1
258.222,p,1
264.101,o,1
264.662,p,1
270.26,w,1
271.941,q,1
325.143,w,1
326.261,q,1
329.905,w,1
342.782,q,1
411.101,p,1
413.063,q,1
446.385,p,1
448.061,q,1
495.383,p,1
498.181,q,1
572.624,p,1
575.144,q,1
629.464,p,1
631.981,q,1
657.745,p,1
674.46,END,0
