time,code,class
34.265,w,1
37.063,q,1
53.301,w,1
58.345,q,1
70.943,w,1
86.345,q,1
128.903,w,1
134.785,q,1
141.785,p,1
149.303,o,1
150.421,w,1
201.941,q,1
208.664,w,1
210.34,o,1
211.184,w,1
215.103,o,1
218.184,p,1
229.942,o,1
231.904,w,1
239.183,o,1
240.023,p,1
254.86,o,1
257.943,w,1
266.905,q,1
279.225,w,1
295.42,q,1
302.7,p,1
308.583,w,1
311.101,q,1
313.345,p,1
322.025,o,1
325.461,p,1
327.142,q,1
329.1,w,1
331.065,q,1
354.341,p,1
356.02,w,1
356.861,q,1
359.384,p,1
373.385,q,1
377.305,p,1
390.18,w,1
394.661,q,1
406.145,w,1
408.38,p,1
413.981,o,1
417.345,w,1
418.185,o,1
419.863,p,1
439.181,q,1
444.462,w,1
451.742,q,1
475.545,w,1
492.903,q,1
498.904,w,1
499.745,p,1
505.901,o,1
506.741,p,1
509.264,q,1
514.025,p,1
526.065,q,1
527.182,p,1
536.701,q,1
556.3,p,1
566.94,q,1
578.145,p,1
596.345,o,1
597.465,p,1
602.785,q,1
604.465,p,1
607.265,q,1
608.944,p,1
612.304,q,1
613.421,p,1
624.622,w,1
626.865,q,1
679.682,END,0
