time,code,class
32.546, w,1
46.58,q,1
48.145, w,1
78.389,q,1
92.421, w,1
151.705,q,1
154.822, w,1
162.105, o,1
164.183, w,1
172.505,q,1
182.386, w,1
185.504, p,1
186.541, o,1
191.22, p,1
193.305, w,1
200.068,q,1
202.142, w,1
206.82,q,1
208.383, w,1
217.228,q,1
218.265, w,1
219.306, o,1
221.387, p,1
234.387, w,1
243.743, o,1
245.303, p,1
254.667, o,1
256.221, w,1
272.861, o,1
273.384, p,1
282.223, w,1
291.068,q,1
293.14, w,1
296.264,q,1
297.82, w,1
304.068, o,1
306.143, p,1
313.946, o,1
314.466, p,1
316.54, w,1
322.303,q,1
333.225, w,1
335.303,q,1
346.229, p,1
359.228, w,1
362.863,q,1
371.18, p,1
380.545, o,1
381.062, w,1
391.461,q,1
394.583, p,1
398.23, o,1
401.343,q,1
411.745, w,1
419.029,q,1
420.061, w,1
421.104,q,1
423.702, w,1
428.381,q,1
459.103, p,1
462.748,q,1
468.984, p,1
480.548, o,1
484.701, w,1
491.462,q,1
498.347, p,1
501.466,q,1
518.747, p,1
522.908, o,1
524.46, p,1
532.789, o,1
533.301, w,1
540.581,q,1
554.101, p,1
554.624,q,1
573.421, p,1
575.507,q,1
606.222, w,1
606.747, o,1
610.903, p,1
620.266, o,1
620.781, w,1
625.465,q,1
632.746, p,1
644.18,q,1
651.468, p,1
666.987, w,1
667.38,END,0
