time,code,class
52.9, w,1
57.105, o,1
57.662, p,1
58.505, w,1
59.062, o,1
59.343, w,1
70.824,q,1
92.668, w,1
113.462,q,1
119.703, w,1
123.867,q,1
126.983, w,1
128.549,q,1
132.181, w,1
148.824,q,1
152.989, w,1
154.549,q,1
169.624, p,1
175.34, o,1
176.381, w,1
176.901,q,1
182.104, w,1
198.226,q,1
210.705, w,1
216.423,q,1
220.583, w,1
221.624,q,1
259.742, w,1
265.988,q,1
394.621, w,1
397.747,q,1
516.909, w,1
519.5, p,1
520.025, o,1
520.547, p,1
529.384, o,1
530.947, w,1
562.821,q,1
572.18, w,1
578.024,q,1
594.143, w,1
596.747,q,1
710.265,END,0
