time,code,class
42.901, w,1
46.542,q,1
62.663, w,1
75.142,q,1
78.263, w,1
88.663,q,1
94.902, w,1
96.465,q,1
104.783, w,1
131.307,q,1
135.462, o,1
137.021, w,1
142.224,q,1
149.023, w,1
165.463,q,1
172.225, p,1
173.785, o,1
179.503,q,1
180.54, w,1
213.823, o,1
217.988,q,1
221.103, o,1
222.703, p,1
226.862, w,1
228.943, o,1
229.982, p,1
232.629, o,1
235.742, w,1
237.301,q,1
249.781, w,1
256.024,q,1
257.583, w,1
259.669,q,1
263.302, w,1
273.705, o,1
279.425, w,1
291.902,q,1
293.46, w,1
297.104, o,1
301.261, p,1
311.666,q,1
312.702, w,1
327.789,q,1
334.543, w,1
337.669,q,1
338.703, w,1
342.344,q,1
344.944, p,1
358.466, o,1
359.5, p,1
362.101, o,1
364.7, w,1
379.266,q,1
381.86, w,1
387.588,q,1
390.18, p,1
393.983,q,1
397.624, p,1
417.903,q,1
423.102, w,1
432.46, o,1
434.026, p,1
438.703, w,1
449.627,q,1
450.142, p,1
451.181,q,1
453.784, p,1
456.903,q,1
579.104, w,1
580.146,q,1
683.63, w,1
687.266,q,1
688.865, w,1
699.18,END,0
