time,code,class
21.302, w,1
28.065,q,1
37.427, w,1
53.581,q,1
57.746, w,1
63.462, o,1
65.026, w,1
68.144, p,1
70.786, o,1
71.3, w,1
72.347,q,1
79.106, w,1
83.268, o,1
84.823, w,1
87.42,q,1
108.745, w,1
116.133,q,1
125.508, w,1
127.066,q,1
131.223, w,1
135.388, o,1
137.463, p,1
140.587, o,1
143.185,q,1
160.346, w,1
164.505,q,1
188.941, w,1
189.985,q,1
197.062, w,1
199.147, o,1
199.661, p,1
204.343, o,1
205.901, w,1
210.061,q,1
217.343, w,1
218.101, o,1
219.623, p,1
223.461, o,1
224.221, w,1
228.02,q,1
235.621, w,1
239.461, o,1
240.98, p,1
243.268, o,1
244.781, w,1
248.581,q,1
250.103, w,1
252.381, o,1
253.148, p,1
259.23, o,1
260.03, w,1
264.62,q,1
273.748, w,1
280.701,q,1
282.221, w,1
283.745, o,1
284.51, p,1
289.821, o,1
291.341, p,1
292.866, o,1
295.141, w,1
298.183, o,1
299.704, p,1
302.746, o,1
304.262, w,1
308.829,q,1
311.108, w,1
312.624, o,1
314.142, p,1
328.582,q,1
362.79, p,1
366.581,q,1
376.55, p,1
380.342,q,1
416.06, w,1
417.591,q,1
488.78, p,1
495.629, o,1
498.662, w,1
510.103,q,1
535.188, w,1
536.701, o,1
538.227, p,1
541.264, w,1
545.822,q,1
551.9, w,1
553.428, o,1
554.19, p,1
556.468, o,1
557.986, w,1
564.825,q,1
567.861, w,1
569.382, o,1
570.901, p,1
576.222, o,1
576.982, w,1
584.583, o,1
585.34, p,1
592.184, o,1
592.94, w,1
595.23, o,1
595.981, p,1
600.54, o,1
601.303, w,1
602.865, o,1
603.624, p,1
608.94, o,1
608.94, w,1
611.221, o,1
611.98, p,1
620.344, o,1
621.103, w,1
623.382, o,1
624.143, p,1
629.467, o,1
630.982, w,1
633.266, o,1
634.022, p,1
639.348, o,1
640.103, w,1
646.181, p,1
652.667, o,1
653.592, w,1
655.421, p,1
659.997,END,0
