time,code,class
23.54, p,1
82.902,q,1
84.421, w,1
99.622,q,1
104.947, w,1
106.46,q,1
271.51, w,1
282.901,q,1
284.427, w,1
288.982,q,1
315.585, w,1
342.224,q,1
361.983, w,1
376.422, p,1
390.101,q,1
396.99, w,1
417.55,q,1
431.222, p,1
431.983, o,1
433.51, w,1
444.142,q,1
446.423, w,1
463.9,q,1
469.228, p,1
473.021,q,1
482.148, w,1
489.748,q,1
501.182, p,1
504.222,q,1
530.861, p,1
533.141,q,1
543.026, p,1
546.101,q,1
562.865, w,1
568.947,q,1
607.741, w,1
619.14, p,1
625.988, w,1
629.782, o,1
630.549, p,1
638.154, o,1
640.423,q,1
646.501, w,1
656.767,q,1
657.689, w,1
660.443,END,0
