time,code,class
34.901, w,1
44.029,q,1
45.545, w,1
59.99, p,1
76.744,q,1
83.58, w,1
101.342,q,1
102.147, p,1
103.662, o,1
105.189, w,1
106.701,q,1
115.062, w,1
132.541, o,1
133.301, p,1
134.82, o,1
140.141, p,1
143.228, o,1
147.789,q,1
152.346, w,1
156.946, p,1
159.223,q,1
160.742, p,1
185.101,q,1
194.222, w,1
196.509,q,1
198.78, w,1
210.943, p,1
215.508, o,1
217.78, p,1
219.306,q,1
224.63, w,1
233.021,q,1
235.301, w,1
238.341,q,1
242.149, p,1
251.262,q,1
254.31, p,1
264.943,q,1
267.984, p,1
283.981,q,1
296.149, w,1
318.22,q,1
320.501, p,1
322.023,q,1
334.941, p,1
340.261,q,1
346.347, p,1
350.15,q,1
354.709, p,1
356.223,q,1
359.26, p,1
360.789,q,1
379.786, p,1
381.301,q,1
408.702, p,1
413.263,q,1
677.361,END,0
