time,code,class
32.662, w,1
37.26,q,1
56.471, w,1
67.104,q,1
75.463, w,1
76.989,q,1
105.94, w,1
118.86,q,1
207.386, w,1
215.861, o,1
217.386, p,1
219.669, o,1
222.708, w,1
240.183, o,1
241.949, p,1
244.225, o,1
246.501, w,1
257.904,q,1
263.82, w,1
265.343,q,1
295.786, w,1
301.101,q,1
305.707, p,1
314.06,q,1
326.341, w,1
327.869,q,1
333.941, p,1
360.59, o,1
366.67, w,1
396.301, p,1
397.067, o,1
398.58, w,1
406.701,q,1
427.501, w,1
434.343, o,1
435.861, p,1
454.863, o,1
456.384, p,1
457.902,q,1
460.18, w,1
476.989,q,1
512.74, w,1
514.261, p,1
541.064, o,1
545.663, p,1
551.82, w,1
556.381, p,1
557.908, o,1
561.703, p,1
575.389,q,1
576.143, w,1
586.784,q,1
598.942, p,1
606.022,q,1
644.782, w,1
654.67, p,1
660.173, o,1
660.173,END,0
