time,code,class
52.502,w,1
53.901,q,1
64.264,w,1
65.103,q,1
66.504,w,1
67.623,q,1
88.623,w,1
91.14,q,1
94.784,w,1
98.145,q,1
98.701,w,1
102.62,q,1
116.065,w,1
121.945,q,1
122.501,w,1
124.465,q,1
145.261,w,1
148.388,q,1
166.58,w,1
169.701,q,1
172.822,w,1
176.982,q,1
180.106,w,1
192.062,q,1
204.546,w,1
214.422,o,1
218.063,p,1
219.1,q,1
221.741,w,1
225.384,q,1
226.421,w,1
236.343,q,1
245.741,w,1
248.346,q,1
254.1,w,1
256.703,q,1
295.755,w,1
309.781,q,1
311.863,p,1
313.428,o,1
314.464,w,1
316.548,q,1
321.224,w,1
331.101,q,1
336.309,p,1
338.902,q,1
340.462,w,1
343.06,q,1
358.142,w,1
366.988,q,1
421.061,w,1
435.12,q,1
450.182,w,1
451.742,q,1
461.103,w,1
481.425,q,1
495.982,w,1
521.462,q,1
529.782,w,1
534.986,q,1
537.061,w,1
539.14,q,1
544.343,w,1
550.062,q,1
564.625,o,1
566.185,p,1
571.38,q,1
574.501,w,1
587.541,p,1
611.98,q,1
613.022,w,1
625.508,q,1
634.341,w,1
643.226,q,1
657.261,w,1
669.741,q,1
681.23,END,0
