time,code,class
45.462,w,1
51.702,q,1
62.15,w,1
88.662,q,1
94.903,w,1
96.461,q,1
105.3,w,1
132.34,q,1
134.947,p,1
136.502,o,1
138.062,w,1
143.269,q,1
148.467,w,1
167.181,q,1
170.823,w,1
173.95,p,1
174.981,o,1
177.586,w,1
180.184,q,1
181.741,w,1
213.465,o,1
216.065,w,1
218.667,q,1
220.221,w,1
221.783,o,1
223.341,p,1
226.466,q,1
227.501,w,1
229.063,o,1
230.11,p,1
232.71,o,1
236.867,w,1
238.425,q,1
250.38,w,1
256.621,q,1
264.466,w,1
274.863,o,1
278.5,w,1
295.703,q,1
297.267,o,1
301.428,p,1
310.782,q,1
313.906,w,1
328.465,q,1
333.666,w,1
337.825,q,1
339.381,w,1
342.502,q,1
344.58,p,1
358.625,o,1
359.663,p,1
362.264,o,1
364.35,w,1
379.425,q,1
382.027,w,1
388.266,q,1
389.825,p,1
392.95,q,1
397.63,p,1
416.863,q,1
424.189,w,1
428.345,q,1
433.547,w,1
437.185,o,1
437.701,p,1
440.822,q,1
443.425,w,1
450.185,q,1
451.75,p,1
453.303,w,1
457.465,q,1
686.781,w,1
699.18,q,1
699.18,END,0
