time,code,class
31.062,w,1
36.78,q,1
49.463,w,1
59.908,q,1
65.63,w,1
66.665,q,1
69.264,w,1
87.989,q,1
89.544,w,1
94.228,q,1
96.306,w,1
113.98,q,1
142.584,w,1
151.423,q,1
163.382,w,1
166.501,q,1
171.182,w,1
174.306,q,1
175.862,w,1
183.663,q,1
186.782,w,1
191.988,q,1
236.708,w,1
246.586,q,1
253.861,w,1
271.541,q,1
276.743,w,1
289.748,q,1
300.14,w,1
310.544,q,1
317.31,w,1
330.827,q,1
342.78,p,1
347.461,o,1
349.545,w,1
353.184,q,1
358.901,w,1
367.228,q,1
369.303,w,1
371.906,o,1
373.466,p,1
375.542,q,1
377.105,w,1
384.383,q,1
399.462,w,1
414.029,q,1
421.828,p,1
448.862,q,1
450.941,w,1
464.461,q,1
466.54,w,1
468.628,q,1
471.223,w,1
482.701,q,1
511.828,w,1
516.507,q,1
541.987,w,1
549.782,q,1
606.982,w,1
651.782,o,1
656.465,w,1
673.58,END,0
