time,code,class
44.986,p,1
55.944,o,1
64.264,w,1
71.543,q,1
74.145,w,1
76.743,q,1
79.343,w,1
98.58,o,1
101.18,q,1
103.268,w,1
112.144,q,1
117.862,w,1
120.983,q,1
123.584,w,1
126.184,q,1
132.421,w,1
153.223,q,1
168.303,w,1
174.549,q,1
181.308,w,1
184.948,o,1
186.505,w,1
188.585,q,1
213.021,w,1
217.704,o,1
221.865,p,1
222.902,q,1
224.466,p,1
226.545,o,1
229.145,w,1
233.82,o,1
235.381,p,1
239.547,o,1
241.103,p,1
243.181,q,1
245.262,w,1
248.421,q,1
255.701,w,1
258.828,o,1
260.381,p,1
266.622,o,1
268.184,q,1
269.742,w,1
271.821,o,1
273.381,p,1
295.228,w,1
299.906,q,1
307.706,o,1
309.269,p,1
312.901,q,1
323.822,w,1
328.502,o,1
330.065,p,1
333.7,o,1
335.782,w,1
358.701,o,1
361.821,w,1
382.101,o,1
384.185,w,1
389.902,o,1
394.582,w,1
401.345,q,1
427.864,p,1
430.982,o,1
432.549,w,1
442.423,q,1
445.023,w,1
465.341,q,1
484.582,w,1
488.221,q,1
496.028,p,1
504.34,q,1
520.46,w,1
524.621,q,1
539.188,p,1
544.388,q,1
550.626,p,1
559.463,q,1
564.142,w,1
582.862,o,1
585.46,p,1
586.5,o,1
588.06,w,1
604.223,o,1
605.782,p,1
608.388,o,1
610.462,w,1
621.383,q,1
626.06,w,1
631.782,q,1
634.908,w,1
649.547,END,0
