time,code,class
35.791,q,1
42.545,p,1
44.103,o,1
53.461,w,1
55.547,q,1
66.463,w,1
68.583,q,1
71.187,w,1
78.98,q,1
85.229,w,1
93.029,q,1
97.18,w,1
127.389,q,1
133.629,w,1
141.942,q,1
156.503,w,1
160.666,o,1
164.306,q,1
177.827,w,1
179.902,q,1
191.863,w,1
205.905,o,1
207.982,w,1
210.062,o,1
218.906,w,1
222.54,q,1
226.188,w,1
228.263,o,1
230.34,w,1
231.901,q,1
233.988,w,1
235.542,q,1
267.783,w,1
289.627,q,1
340.587,w,1
350.987,q,1
360.348,w,1
369.705,q,1
390.502,p,1
408.181,q,1
418.628,w,1
440.463,q,1
442.027,p,1
452.943,o,1
454.503,w,1
461.262,q,1
670.618,END,0
