time,code,class
28.76, w,1
30.56,q,1
34.441, w,1
35.28,q,1
37.8, w,1
74.48,q,1
79.522, w,1
97.52,q,1
102, w,1
115.725,q,1
117.121, w,1
127.48,q,1
128.324, w,1
133.361,q,1
135.04, w,1
151.004,q,1
156.88, w,1
160.8, p,1
189.083, o,1
192.44, p,1
195.52, o,1
196.36, w,1
198.041,q,1
204.481, w,1
210.081,q,1
213.721, w,1
215.96,q,1
223.52, w,1
226.2,q,1
227.041, p,1
237.121, o,1
239.92, p,1
255.6, w,1
257.281,q,1
271.281, p,1
275.48,q,1
287.24, w,1
293.12,q,1
302.96, w,1
308.004, p,1
325.085,q,1
331.521, w,1
342.165, p,1
345.801,q,1
352.24, p,1
353.361,q,1
393.68, p,1
403.48,q,1
416.68, p,1
418.641,q,1
427.32, p,1
430.12,q,1
440.2, p,1
443.841,q,1
457, p,1
459.52,q,1
473.241, p,1
484.16,q,1
499.28, p,1
502.08,q,1
555, p,1
568.721,q,1
577.961, w,1
607.64,q,1
616.32, p,1
621.361,q,1
625.28, p,1
654.683,q,1
665.32, p,1
668.86,END,0
