time,code,class
33.64,q,1
51.56, w,1
92.44,q,1
97.485, w,1
100.001,q,1
106.44, w,1
120.16,q,1
123.24, w,1
134.725, p,1
139.2, o,1
140.601, w,1
149.28,q,1
151.8, w,1
158.801, o,1
159.08, p,1
162.72, o,1
164.68, p,1
166.08, w,1
168.883,q,1
171.4, w,1
178.4,q,1
181.2, p,1
182.881, o,1
187.361, w,1
188.76,q,1
194.081, p,1
197.16, o,1
200.52, p,1
202.76, w,1
205.56,q,1
210.601, p,1
212, o,1
216.76, p,1
218.441,q,1
228.525, p,1
229.961,q,1
238.085, w,1
238.921,q,1
640.564, w,1
644.2, o,1
646.121, p,1
649.763, o,1
654.801, p,1
655.641, o,1
659.56, p,1
666.84, w,1
667.68,q,1
672.78,END,0
