time,code,class
18.96, w,1
35.241,q,1
39.72, p,1
42.801, o,1
43.361, w,1
45.882,q,1
50.36, w,1
51.765,q,1
64.08, w,1
68.28,q,1
71.085, w,1
82,q,1
85.362, w,1
93.761,q,1
94.6, w,1
109.725,q,1
113.64, w,1
125.123,q,1
131.56, w,1
141.36,q,1
155.92, w,1
160.961, o,1
163.485, w,1
164.04,q,1
174.4, w,1
176.361,q,1
182.24, w,1
183.921,q,1
190.64, w,1
206.045, o,1
207.16, w,1
209.68, o,1
217.801, w,1
222.561,q,1
225.921, w,1
228.161, p,1
229.001, o,1
229.56, w,1
231.8,q,1
233.2, w,1
235.161,q,1
267.08, w,1
279.12,q,1
281.92, w,1
289.485,q,1
333.48, w,1
350.561,q,1
359.24, w,1
367.081,q,1
377.161, w,1
379.96,q,1
388.92, p,1
408.243,q,1
418.6, w,1
435.961,q,1
437.08, p,1
446.04, o,1
455.004, w,1
460.6,q,1
672.58,END,0
