time,code,class
36.081,o,1
39.443,w,1
48.403,q,1
48.965,w,1
50.363,o,1
54.004,q,1
57.923,w,1
59.32,q,1
64.923,w,1
66.602,o,1
66.886,p,1
78.085,q,1
79.48,w,1
80.325,q,1
81.725,w,1
82.282,q,1
87.881,p,1
89.002,o,1
89.562,p,1
93.762,o,1
96.285,q,1
97.683,w,1
97.961,q,1
101.605,q,1
101.883,w,1
102.723,q,1
115.322,p,1
122.04,o,1
122.6,p,1
124.004,o,1
124.564,p,1
126.521,q,1
126.802,w,1
127.361,q,1
135.484,p,1
136.321,q,1
147.243,p,1
162.085,q,1
173.564,p,1
184.204,o,1
184.762,p,1
189.243,q,1
192.603,p,1
213.602,q,1
221.722,p,1
230.121,q,1
248.885,p,1
250.282,q,1
266.802,p,1
281.362,q,1
337.921,p,1
339.603,q,1
347.442,w,1
349.681,q,1
352.481,p,1
353.884,o,1
355.001,p,1
356.686,q,1
357.522,p,1
374.601,q,1
381.041,p,1
388.322,q,1
393.922,p,1
403.722,q,1
409.041,p,1
420.805,q,1
423.082,p,1
432.045,q,1
435.125,p,1
449.682,q,1
474.32,p,1
506.24,q,1
509.326,p,1
511.282,q,1
523.323,p,1
540.125,q,1
542.642,w,1
543.202,q,1
547.682,w,1
550.481,q,1
555.521,p,1
567.721,q,1
573.882,p,1
586.804,q,1
595.48,p,1
605.28,q,1
646.34,END,0
