time,code,class
29.282,w,1
32.921,q,1
62.321,w,1
63.165,q,1
72.125,w,1
83.043,q,1
94.524,w,1
99.002,q,1
124.203,w,1
128.681,q,1
183.284,w,1
189.447,q,1
191.12,w,1
193.922,q,1
214.084,w,1
216.043,q,1
321.323,w,1
324.123,p,1
325.24,o,1
326.642,w,1
329.721,q,1
331.405,p,1
331.687,o,1
332.804,p,1
333.361,o,1
335.041,w,1
337.002,p,1
338.403,o,1
339.803,p,1
340.923,o,1
342.885,p,1
344.287,q,1
347.684,p,1
350.46,o,1
351.842,w,1
352.401,q,1
634.162,o,1
635.844,w,1
637.804,q,1
646.762,p,1
649.564,o,1
650.964,w,1
651.246,q,1
658.241,p,1
668.46,END,0
