time,code,class
32.245,w,1
39.242,q,1
39.8,w,1
46.245,q,1
47.362,w,1
78.16,q,1
80.963,p,1
87.963,q,1
90.203,w,1
116.804,q,1
117.362,w,1
134.442,q,1
143.681,w,1
150.96,q,1
155.16,w,1
162.167,o,1
164.124,w,1
172.56,q,1
181.526,w,1
183.764,o,1
184.881,p,1
185.721,o,1
191.883,p,1
192.442,o,1
193.28,w,1
206.445,q,1
208.123,w,1
215.121,q,1
217.924,w,1
219.322,o,1
221.283,p,1
233.601,o,1
234.724,w,1
240.324,q,1
240.881,w,1
243.406,o,1
244.245,p,1
254.603,o,1
255.722,w,1
260.202,q,1
263.003,w,1
268.883,q,1
269.443,w,1
270.845,q,1
271.683,w,1
272.803,o,1
273.086,p,1
280.962,o,1
281.803,w,1
287.122,q,1
288.803,w,1
290.482,q,1
293.847,w,1
294.12,q,1
295.767,w,1
296.6,q,1
297.722,w,1
301.083,q,1
301.924,w,1
304.161,o,1
305.563,p,1
313.163,o,1
313.724,p,1
315.684,o,1
316.241,w,1
321.841,q,1
328.562,w,1
329.123,q,1
331.92,w,1
333.04,q,1
345.921,o,1
346.484,p,1
357.163,o,1
358.287,w,1
361.962,q,1
370.964,p,1
379.64,o,1
380.484,w,1
388.881,q,1
392.801,w,1
394.763,p,1
398.401,o,1
401.204,q,1
409.044,w,1
415.485,q,1
416.042,w,1
417.443,q,1
419.682,w,1
421.642,q,1
423.601,w,1
427.802,q,1
428.921,w,1
437.041,q,1
458.601,p,1
463.366,q,1
468.96,p,1
475.962,o,1
477.36,p,1
480.722,o,1
484.362,w,1
491.043,q,1
498.042,p,1
501.964,q,1
520.443,p,1
522.4,o,1
524.362,p,1
532.481,o,1
533.042,w,1
539.206,q,1
542.001,w,1
542.282,q,1
545.642,w,1
545.922,q,1
554.125,p,1
555.803,q,1
572.882,p,1
575.681,q,1
605.202,w,1
606.323,o,1
610.524,p,1
618.763,o,1
619.605,w,1
625.204,q,1
631.923,p,1
642.843,o,1
643.962,w,1
644.523,q,1
652.083,p,1
663.565,o,1
664.401,w,1
667.38,END,0
