time,code,class
15.48,w,1
17.164,o,1
21.364,p,1
28.925,q,1
44.041,p,1
55.801,o,1
63.641,w,1
70.642,q,1
74.283,w,1
76.241,q,1
79.322,w,1
94.161,q,1
94.721,w,1
98.361,o,1
101.442,w,1
110.121,q,1
116.28,w,1
118.523,q,1
122.442,w,1
124.961,q,1
132.804,w,1
142.604,o,1
144.002,w,1
144.566,o,1
145.162,w,1
149.924,q,1
152.724,w,1
153.001,q,1
160.563,w,1
164.207,q,1
167.281,w,1
174.004,q,1
177.365,p,1
177.643,o,1
178.482,w,1
184.361,o,1
185.763,w,1
186.324,q,1
191.081,p,1
191.923,o,1
192.762,w,1
200.321,q,1
208.163,w,1
217.961,o,1
218.527,p,1
220.48,q,1
223.282,p,1
225.802,o,1
228.883,w,1
233.364,o,1
235.044,p,1
238.963,o,1
240.642,p,1
241.481,o,1
242.6,q,1
245.121,w,1
246.522,q,1
253.523,w,1
258.843,o,1
260.241,p,1
265.842,o,1
266.4,p,1
268.923,q,1
269.483,w,1
270.603,o,1
273.402,p,1
285.444,o,1
288.246,w,1
293.001,q,1
295.524,w,1
302.802,o,1
305.321,p,1
312.601,q,1
317.085,w,1
321.282,q,1
324.361,w,1
328.563,o,1
329.683,p,1
333.603,o,1
336.121,w,1
355.725,o,1
356.843,p,1
361.041,o,1
362.443,w,1
380.363,o,1
383.166,w,1
388.481,o,1
388.765,p,1
391,o,1
394.364,w,1
401.081,q,1
420.125,p,1
425.165,o,1
426.004,p,1
427.402,o,1
429.923,w,1
439.164,q,1
443.926,w,1
454.843,q,1
456.241,w,1
458.484,q,1
459.046,w,1
464.642,q,1
484.526,w,1
484.526,q,1
496.282,p,1
503.561,q,1
519.522,w,1
524.282,q,1
536.322,w,1
537.446,o,1
538.001,p,1
543.883,q,1
546.684,p,1
547.52,q,1
549.761,p,1
559.841,q,1
564.321,w,1
582.523,o,1
585.32,p,1
586.441,o,1
587.563,w,1
604.361,o,1
605.76,p,1
608.282,o,1
609.687,w,1
622.003,q,1
623.962,w,1
631.241,q,1
634.884,w,1
649.573,END,0
