time,code,class
13.362,w,1
21.767,q,1
30.004,w,1
41.202,q,1
56.325,w,1
69.326,q,1
74.087,w,1
91.442,q,1
93.402,w,1
104.044,q,1
106.002,w,1
118.324,q,1
127.286,w,1
131.767,q,1
135.683,w,1
145.765,q,1
152.204,w,1
160.324,q,1
165.082,w,1
166.763,q,1
172.082,w,1
188.881,q,1
195.321,w,1
205.965,q,1
210.725,p,1
216.6,o,1
219.401,w,1
233.121,q,1
237.321,w,1
257.202,q,1
262.804,w,1
289.121,q,1
305.08,w,1
312.36,o,1
316,p,1
319.08,o,1
325.522,p,1
327.203,o,1
330.565,w,1
338.682,o,1
343.445,p,1
348.482,o,1
360.24,q,1
361.642,w,1
363.045,q,1
369.763,w,1
371.163,q,1
544.483,p,1
544.761,o,1
545.883,w,1
548.964,q,1
551.483,w,1
560.443,q,1
563.242,o,1
564.081,p,1
565.202,o,1
573.882,w,1
581.726,q,1
583.681,o,1
585.081,w,1
585.363,q,1
587.601,p,1
589.565,o,1
592.921,p,1
601.883,q,1
602.161,w,1
609.724,o,1
611.681,p,1
613.362,q,1
617.004,p,1
619.243,o,1
623.166,p,1
631.282,q,1
631.844,w,1
637.62,END,0
