time,code,class
47.747, w,1
52.703,q,1
63.905, w,1
65.024,q,1
66.141, w,1
67.54,q,1
87.981, w,1
91.063,q,1
95.101, w,1
97.904,q,1
115.545, w,1
124.5,q,1
143.583, w,1
148.38,q,1
165.741, w,1
177.225,q,1
181.985, w,1
191.861,q,1
202.101, p,1
202.384, o,1
202.661, w,1
215.545, o,1
217.222, p,1
217.784, o,1
218.343, w,1
218.93,q,1
222.261, w,1
225.344,q,1
227.3, w,1
234.3,q,1
244.945, w,1
248.282,q,1
252.745, w,1
256.383,q,1
272.3, w,1
277.62,q,1
295.264, w,1
309.265,q,1
311.783, p,1
313.46, o,1
314.3, w,1
314.582,q,1
320.743, w,1
331.1,q,1
336.982, w,1
342.3,q,1
358.541, w,1
366.943,q,1
385.381, w,1
398.825,q,1
401.345, w,1
409.464,q,1
415.903, w,1
434.345,q,1
442.464, w,1
452.264,q,1
460.945, w,1
470.181,q,1
473.264, w,1
478.58,q,1
495.102, w,1
520.545,q,1
529.502, w,1
547.425,q,1
556.625, w,1
564.745, o,1
566.701, p,1
570.345, o,1
571.462, w,1
571.744,q,1
587.425, p,1
611.78,q,1
612.901, w,1
626.905,q,1
635.58, w,1
643.42,q,1
656.305, w,1
670.3,q,1
681.372,END,0
