time,code,class
40.389, w,1
51.462,q,1
58.983, w,1
84.465,q,1
109.942, w,1
120.302,q,1
147.465, w,1
156.702,q,1
185.201, w,1
227.901,q,1
234.18, w,1
243.102,q,1
279.221, w,1
303.14,q,1
320.343, w,1
344.145,q,1
344.981, w,1
365.422,q,1
372.423, p,1
382.06, o,1
386.544, w,1
387.945,q,1
409.464, w,1
418.7,q,1
424.863, w,1
446.501,q,1
452.662, w,1
462.462,q,1
488.78, w,1
511.545,q,1
513.22, p,1
531.145, o,1
537.663, w,1
540.461,q,1
570.98, w,1
627.905,q,1
632.943, w,1
638.625,q,1
654.581, w,1
663.461,q,1
664.025, p,1
677.18,END,0
