time,code,class
15.58, w,1
57.064,q,1
62.382, w,1
88.983,q,1
96.341, w,1
101.1,q,1
114.82, w,1
119.302,q,1
120.701, w,1
121.821,q,1
125.465, w,1
131.625,q,1
147.582, p,1
148.42, o,1
151.224, p,1
156.825, o,1
158.302, w,1
158.581,q,1
162.505, w,1
170.342,q,1
174.82, w,1
175.942,q,1
197.503, p,1
198.901,q,1
211.224, p,1
224.38,q,1
224.66, w,1
233.06,q,1
244.34, w,1
247.105, o,1
249.343, p,1
255.78,q,1
257.742, p,1
263.905, o,1
264.743, p,1
269.225,q,1
270.621, w,1
271.461,q,1
324.063, w,1
325.565,q,1
328.621, w,1
342.065,q,1
410.825, p,1
412.225,q,1
445.464, p,1
446.864,q,1
495.264, p,1
497.502,q,1
572.303, p,1
573.981,q,1
629.225, p,1
632.021,q,1
657.5, p,1
674.46,q,1
674.46,END,0
