time,code,class
14.681, w,1
21.665, o,1
22.504, p,1
29.5, o,1
30.621, p,1
32.022,q,1
32.864, w,1
42.861,q,1
58.545, w,1
68.903,q,1
71.42, w,1
75.621,q,1
95.581, w,1
99.78, o,1
100.903, p,1
101.305,q,1
109.742, w,1
115.62, o,1
115.917, p,1
127.94,q,1
128.785, w,1
134.381,q,1
146.704, p,1
154.545,q,1
190.943, p,1
192.343,q,1
227.385, p,1
228.501,q,1
232.701, p,1
233.541,q,1
249.021, p,1
250.7,q,1
256.504, p,1
257.625,q,1
295.422, p,1
300.185, o,1
301.862, w,1
302.144,q,1
304.663, w,1
318.104,q,1
322.581, p,1
323.981,q,1
323.981, w,1
326.5,q,1
333.5, w,1
339.943,q,1
366.505, w,1
370.144,q,1
376.86, w,1
378.542,q,1
398.303, w,1
400.544,q,1
423.22, w,1
426.861,q,1
648.06,END,0
