time,code,class
29.585, w,1
31.822,q,1
51.704, w,1
92.585,q,1
97.064, w,1
100.144,q,1
106.304, w,1
120.303,q,1
123.104, w,1
134.703,q,1
134.984, p,1
139.18, o,1
140.86, w,1
149.262,q,1
153.18, w,1
158.785, o,1
159.343, p,1
162.981, o,1
164.381, p,1
166.14, o,1
166.14, w,1
167.263,q,1
171.464, w,1
178.462,q,1
180.981, p,1
182.941, o,1
187.42, w,1
188.82,q,1
194.142, p,1
197.22, o,1
200.864, p,1
201.703,q,1
202.544, w,1
205.625,q,1
210.38, p,1
212.063, o,1
216.825, p,1
218.781,q,1
229.421, p,1
229.98,q,1
238.38, w,1
238.944,q,1
640.465, w,1
643.825, o,1
645.785, p,1
650.542, o,1
654.742, p,1
655.585, o,1
659.502, p,1
666.674,q,1
672.78,END,0
