time,code,class
51.1, w,1
56.35,q,1
65.35, w,1
94.6,q,1
95.35, w,1
102.85,q,1
105.101, w,1
106.6,q,1
138.1, w,1
161.35, o,1
163.6, p,1
165.851, o,1
167.363, w,1
169.612,q,1
181.6, p,1
185.35, o,1
185.35, w,1
202.601,q,1
217.601, p,1
222.101, w,1
244.6,q,1
251.35, p,1
264.112, o,1
267.101, p,1
268.601, o,1
270.851, w,1
279.101,q,1
284.35, p,1
288.85, o,1
289.6, w,1
324.1,q,1
330.85, w,1
364.6,q,1
372.85, p,1
384.85, o,1
386.35, w,1
390.851,q,1
402.85, p,1
409.6,q,1
416.35, p,1
417.85,q,1
484.6, w,1
486.101,q,1
495.1, p,1
496.614,q,1
513.1, w,1
522.1,q,1
524.35, o,1
527.35, p,1
543.85,q,1
544.6, p,1
546.851,q,1
553.6, p,1
565.601,q,1
571.6, p,1
581.35,q,1
582.85, p,1
595.612,q,1
606.851, p,1
608.35,q,1
628.6, p,1
652.6,q,1
653.35, p,1
668.35,q,1
672.1, p,1
693.101,END,0
