time,code,class
49.112, w,1
84.35,q,1
112.101, w,1
120.372,q,1
134.601, w,1
137.601,q,1
148.1, w,1
157.123,q,1
183.35, w,1
227.612,q,1
234.35, w,1
243.362,q,1
278.601, w,1
303.35,q,1
320.611, w,1
324.35,q,1
328.1, w,1
343.85,q,1
345.35, w,1
365.6,q,1
372.351, p,1
382.101, o,1
387.35, w,1
388.863,q,1
409.85, w,1
418.85,q,1
425.601, w,1
441.362,q,1
442.85, w,1
447.35,q,1
453.35, w,1
462.35,q,1
477.35, w,1
478.85,q,1
489.35, w,1
490.85,q,1
492.35, w,1
511.85,q,1
515.6, p,1
532.1, o,1
538.85, w,1
541.101,q,1
544.1, w,1
628.101,q,1
634.85, w,1
638.6,q,1
646.101, w,1
649.85,q,1
655.101, w,1
663.362,q,1
665.601, p,1
676.351,END,0
