time,code,class
12.601, o,1
17.851, p,1
24.6,q,1
26.1, o,1
27.6, p,1
34.35, o,1
37.35, w,1
46.35,q,1
51.601, w,1
52.35,q,1
63.1, p,1
65.35,q,1
90.101, p,1
91.6,q,1
99.85, p,1
107.351,q,1
118.6, p,1
120.851,q,1
168.101, w,1
168.85,q,1
175.6, p,1
187.85,q,1
199.101, p,1
202.1,q,1
212.6, p,1
214.101,q,1
223.85, p,1
225.35,q,1
234.35, p,1
244.101,q,1
247.101, p,1
252.35,q,1
304.851, w,1
305.601,q,1
313.101, w,1
313.85,q,1
315.35, p,1
322.85,q,1
324.35, p,1
347.85,q,1
351.6, w,1
355.35,q,1
356.101, p,1
365.101,q,1
372.601, p,1
385.6,q,1
399.101, p,1
406.85,q,1
420.35, p,1
438.351,q,1
450.351, p,1
453.35,q,1
463.101, p,1
472.85,q,1
484.101, p,1
490.85,q,1
502.85, p,1
509.6,q,1
521.601, p,1
553.101,q,1
566.601, p,1
575.851,q,1
589.35, p,1
590.851,q,1
602.101, p,1
605.101,q,1
676.601,END,0
