time,code,class
52.101, o,1
54.35, w,1
67.85,q,1
74.601, p,1
79.1, o,1
80.601, w,1
82.101,q,1
89.35, w,1
92.35,q,1
119.351, p,1
127.6, o,1
131.35,q,1
132.851, w,1
139.6,q,1
162.85, w,1
183.1,q,1
195.85, w,1
201.101, o,1
204.101, p,1
211.612,q,1
219.1, w,1
243.85,q,1
249.85, o,1
252.111, w,1
253.6,q,1
254.351, w,1
261.851,q,1
290.35, w,1
294.85,q,1
309.85, w,1
320.35,q,1
322.602, w,1
324.101,q,1
327.85, p,1
329.35, o,1
331.6, p,1
342.862,q,1
345.85, w,1
352.6,q,1
357.101, w,1
357.85,q,1
366.1, w,1
379.601,q,1
381.101, p,1
382.6, o,1
384.101, p,1
387.1, o,1
396.101,q,1
398.35, w,1
402.85,q,1
404.351, w,1
408.1, o,1
412.6, w,1
413.35,q,1
424.6, w,1
427.6,q,1
440.35, p,1
444.1,q,1
447.101, w,1
450.101,q,1
483.851, p,1
490.6,q,1
500.351, p,1
519.101,q,1
529.601, p,1
532.6,q,1
544.6, w,1
546.101,q,1
582.851, p,1
606.1, w,1
623.35,q,1
627.101, w,1
640.602,q,1
642.85, w,1
651.1, o,1
653.351, p,1
655.6, o,1
657.101, p,1
659.35, w,1
669.85, o,1
670.6, p,1
685.6,q,1
687.85, w,1
696.85,q,1
706.6,END,0
