time,code,class
29.095,w,1
55.061,o,1
56.18,p,1
69.772,o,1
71.171,w,1
85.724,o,1
86.088,p,1
97.796,q,1
102.25,w,1
105.706,q,1
107.98,w,1
108.541,q,1
110.028,w,1
112.216,o,1
112.579,p,1
116.776,o,1
117.978,p,1
122.908,q,1
131.022,w,1
149.282,o,1
150.165,p,1
158.315,o,1
159.326,w,1
159.953,q,1
165.705,w,1
166.771,q,1
168.789,w,1
173.3,q,1
175.824,w,1
177.942,q,1
180.185,p,1
192.265,q,1
202.977,w,1
208.505,q,1
210.185,w,1
213.265,q,1
214.664,p,1
215.785,o,1
221.705,p,1
224.78,q,1
240.144,w,1
242.422,q,1
242.98,p,1
244.665,w,1
249.131,o,1
250.368,p,1
252.337,q,1
253.539,w,1
253.848,q,1
255.756,p,1
258.995,q,1
271.278,w,1
273.564,q,1
273.742,p,1
304.112,o,1
306.259,w,1
308.216,q,1
312.549,p,1
317.155,q,1
335.252,w,1
336.563,q,1
338.722,w,1
341.451,p,1
343.139,w,1
346.856,q,1
375.357,w,1
376.353,q,1
381.395,w,1
384.642,q,1
385.477,w,1
386.356,q,1
386.827,p,1
389.071,o,1
389.253,w,1
391.009,q,1
399.958,w,1
401.633,q,1
402.368,w,1
403.823,q,1
404.509,p,1
407.872,o,1
409.466,q,1
428.898,w,1
429.572,q,1
430.181,p,1
432.089,q,1
434.322,p,1
438.955,o,1
446.098,p,1
447.288,o,1
447.597,p,1
450.156,o,1
452.386,w,1
452.949,q,1
454.133,w,1
457.86,q,1
472.262,w,1
472.97,q,1
487.417,w,1
489.226,q,1
489.412,p,1
490.966,q,1
491.396,w,1
492.523,o,1
493.296,p,1
493.834,q,1
495.221,p,1
498.005,q,1
500.534,p,1
508.29,q,1
511.461,w,1
513.111,p,1
518.243,o,1
519.924,p,1
538.046,q,1
539.012,o,1
541.492,p,1
543.438,q,1
557.021,w,1
558.026,q,1
613.458,w,1
614.377,q,1
615.296,p,1
616.642,q,1
658.742,w,1
659.24,q,1
677.172,w,1
677.613,END,0
