time,code,class
47.431,w,1
52.959,q,1
64.138,w,1
64.932,q,1
65.734,w,1
67.487,q,1
88.006,w,1
91.373,q,1
94.756,w,1
97.677,q,1
115.737,w,1
121.937,q,1
122.598,w,1
124.581,q,1
143.783,w,1
148.575,q,1
165.853,w,1
176.532,q,1
180.127,w,1
192.177,q,1
201.66,p,1
201.895,o,1
202.09,w,1
214.396,o,1
217.224,p,1
217.546,o,1
217.916,w,1
218.427,q,1
221.668,w,1
225.031,q,1
226.407,w,1
228.856,q,1
245.218,w,1
248.252,q,1
251.899,w,1
256.856,q,1
268.872,w,1
270.441,q,1
272.425,w,1
274.026,q,1
295.433,w,1
308.868,q,1
311.735,p,1
313.268,o,1
314.102,w,1
314.817,q,1
319.794,w,1
330.867,q,1
336.975,w,1
342.164,q,1
356.277,w,1
366.044,q,1
367.484,w,1
368.328,q,1
382.547,w,1
397.372,q,1
400.216,w,1
409.534,q,1
415.296,w,1
433.903,q,1
440.799,w,1
444.098,q,1
445.307,w,1
451.502,q,1
459.33,w,1
470.67,q,1
473.057,w,1
478.386,q,1
495.398,w,1
519.946,q,1
529.67,w,1
534.947,q,1
536.952,w,1
546.7,q,1
556.531,w,1
561.74,q,1
563.97,w,1
564.689,o,1
566.138,p,1
569.899,o,1
571.223,w,1
573.359,q,1
587.587,p,1
598.433,o,1
599.057,p,1
611.683,q,1
612.45,w,1
624.395,q,1
633.871,w,1
643.461,q,1
655.931,w,1
669.245,q,1
681.173,END,0
