time,code,class
13.856,w,1
19.884,q,1
27.987,w,1
41.461,q,1
56.1,w,1
69.101,q,1
74.063,w,1
81.307,q,1
85.706,w,1
89.303,q,1
93.307,w,1
102.108,q,1
104.502,w,1
118.107,q,1
124.146,w,1
131.745,q,1
134.54,w,1
146.946,q,1
151.745,w,1
156.904,q,1
164.103,w,1
166.506,q,1
173.304,w,1
189.705,q,1
196.505,w,1
206.107,q,1
209.224,p,1
216.108,o,1
219.702,w,1
225.708,q,1
227.703,w,1
232.907,q,1
236.907,w,1
242.101,q,1
242.9,w,1
256.424,q,1
265.547,w,1
289.318,q,1
296.266,w,1
299.545,q,1
300.346,w,1
312.746,o,1
315.944,p,1
318.747,o,1
325.142,p,1
327.14,o,1
329.548,w,1
338.462,o,1
341.666,w,1
343.268,o,1
343.66,p,1
348.068,o,1
352.464,p,1
353.666,o,1
358.938,w,1
361.988,q,1
365.586,w,1
367.583,q,1
369.583,w,1
371.183,q,1
543.681,p,1
544.243,o,1
544.656,w,1
549.02,q,1
550.224,w,1
560.263,q,1
561.901,w,1
562.301,o,1
563.507,p,1
564.704,o,1
573.904,w,1
581.319,q,1
581.838,o,1
582.901,w,1
584.7,q,1
587.707,p,1
589.424,o,1
592.662,p,1
600.977,q,1
602.31,w,1
609.918,o,1
611.076,p,1
612.946,q,1
616.396,p,1
618.547,o,1
620.941,p,1
629.122,w,1
629.852,q,1
630.773,w,1
637.62,END,0
