time,code,class
50.089,p,1
51.471,o,1
52.6,w,1
66.964,q,1
73.545,p,1
78.192,o,1
79.632,w,1
91.541,q,1
117.463,p,1
126.467,o,1
129.767,w,1
130.118,q,1
131.337,w,1
139.409,q,1
162.106,w,1
182.9,q,1
189.224,w,1
189.69,o,1
190.351,p,1
191.138,q,1
195.598,w,1
201.024,o,1
203.426,p,1
210.625,q,1
218.225,w,1
243.059,q,1
249.298,o,1
250.657,w,1
261.804,q,1
273.27,w,1
273.949,q,1
289.945,w,1
294.341,q,1
309.183,w,1
326.593,q,1
327.061,p,1
328.727,o,1
330.593,p,1
342.827,q,1
344.426,w,1
354.42,q,1
355.226,w,1
356.827,q,1
365.626,w,1
380.296,o,1
381.23,p,1
381.217,o,1
382.713,p,1
386.227,o,1
394.527,q,1
397.707,w,1
407.771,o,1
408.65,p,1
409.616,o,1
411.698,w,1
412.984,q,1
414.186,w,1
415.787,q,1
423.785,w,1
425.784,q,1
439.748,p,1
440.781,q,1
446.307,w,1
448.706,q,1
454.707,p,1
455.504,q,1
483.123,p,1
489.903,q,1
493.503,p,1
494.307,q,1
499.506,p,1
519.101,q,1
529.103,p,1
532.198,q,1
544.187,w,1
545.228,q,1
583.057,p,1
584.339,q,1
585.528,p,1
601.305,o,1
604.507,w,1
616.904,q,1
620.463,w,1
620.735,q,1
627.214,w,1
640.341,q,1
642.216,w,1
650.168,o,1
652.382,p,1
654.006,o,1
656.075,p,1
658.517,o,1
659.18,w,1
668.624,o,1
669.431,p,1
672.807,o,1
673.535,p,1
681.547,o,1
684.696,w,1
696.78,q,1
700.051,w,1
702.815,q,1
706.971,END,0
