time,code,class
30.223,o,1
35.34,p,1
39.824,o,1
41.785,w,1
53.544,q,1
58.021,p,1
61.38,o,1
68.1,p,1
80.42,o,1
82.385,w,1
83.5,q,1
142.424,w,1
143.823,o,1
144.101,p,1
149.424,o,1
152.505,w,1
156.701,q,1
173.503,p,1
177.704,o,1
179.94,p,1
182.185,q,1
313.782,p,1
326.662,q,1
330.301,p,1
361.624,q,1
368.06,p,1
371.145,q,1
374.501,p,1
376.463,q,1
385.421,p,1
405.024,q,1
405.304,w,1
411.744,q,1
417.062,p,1
425.464,o,1
430.504,w,1
437.302,q,1
437.865,p,1
446.543,q,1
448.503,p,1
450.465,q,1
460.544,p,1
469.785,q,1
471.181,p,1
496.381,o,1
499.185,q,1
503.382,w,1
510.665,q,1
514.585,p,1
519.902,q,1
526.342,p,1
532.225,o,1
533.344,p,1
537.265,q,1
554.34,p,1
568.903,q,1
574.503,w,1
576.745,q,1
584.865,p,1
598.02,q,1
605.585,p,1
675.98,END,0
