time,code,class
50.584,w,1
52.821,q,1
63.741,w,1
65.141,q,1
66.26,w,1
67.38,q,1
88.062,w,1
91.141,q,1
95.063,w,1
97.585,q,1
115.225,w,1
121.944,q,1
122.505,w,1
124.462,q,1
143.22,w,1
148.542,q,1
165.625,w,1
169.545,q,1
172.064,w,1
176.82,q,1
180.183,w,1
191.943,q,1
201.581,p,1
201.821,o,1
201.981,w,1
216.425,o,1
217.545,p,1
218.1,o,1
218.381,w,1
218.944,q,1
221.74,w,1
224.825,q,1
226.22,w,1
232.101,q,1
244.705,w,1
248.341,q,1
252.825,w,1
256.46,q,1
272.145,w,1
272.703,q,1
295.3,w,1
309.021,q,1
311.822,p,1
313.5,o,1
314.34,w,1
316.023,q,1
320.78,w,1
330.58,q,1
337.02,w,1
341.504,q,1
358.3,w,1
364.142,q,1
390.342,w,1
393.143,q,1
402.945,w,1
406.86,q,1
415.265,w,1
425.623,q,1
445.942,w,1
449.025,q,1
462.181,w,1
463.864,q,1
495.42,w,1
502.42,q,1
504.941,w,1
506.901,q,1
529.263,w,1
534.86,q,1
536.545,w,1
538.783,q,1
556.705,w,1
561.78,q,1
563.181,w,1
564.582,p,1
570.385,o,1
571.5,w,1
572.343,q,1
585.782,p,1
598.104,o,1
598.665,p,1
611.542,q,1
612.66,w,1
624.145,q,1
633.384,w,1
641.504,q,1
656.625,w,1
657.744,q,1
681.293,END,0
