time,code,class
31.38,w,1
36.145,q,1
58.261,w,1
63.863,o,1
64.142,p,1
66.943,o,1
71.145,w,1
81.225,q,1
88.5,w,1
102.785,q,1
108.38,w,1
109.22,o,1
110.344,w,1
140.541,q,1
141.383,w,1
142.505,q,1
148.383,w,1
173.021,q,1
174.42,w,1
178.905,q,1
182.542,w,1
183.942,q,1
187.305,w,1
202.983,q,1
209.985,p,1
223.705,q,1
227.622,w,1
230.705,q,1
237.981,w,1
239.945,q,1
240.502,w,1
241.625,q,1
242.465,w,1
244.141,q,1
248.62,w,1
259.26,q,1
262.34,w,1
265.705,q,1
267.105,w,1
305.74,q,1
319.182,w,1
321.425,q,1
357.544,w,1
365.663,q,1
367.064,w,1
369.581,q,1
377.984,p,1
387.505,o,1
388.622,p,1
390.585,q,1
391.705,w,1
399.262,q,1
404.861,p,1
414.1,o,1
417.183,p,1
418.86,w,1
422.223,q,1
449.941,p,1
451.063,o,1
451.621,w,1
452.741,q,1
460.584,p,1
466.185,q,1
667.26,END,0
