time,code,class
33.705,w,1
34.26,o,1
37.624,w,1
50.501,o,1
52.463,w,1
53.301,q,1
57.782,w,1
59.184,q,1
65.065,w,1
66.74,p,1
77.105,q,1
79.062,w,1
80.183,q,1
87.742,p,1
93.625,o,1
95.581,q,1
97.545,w,1
98.102,q,1
102.02,w,1
102.583,q,1
115.183,p,1
121.901,o,1
122.744,p,1
125.263,q,1
126.66,w,1
127.505,q,1
135.341,p,1
136.18,q,1
146.264,p,1
162.225,q,1
173.422,p,1
184.065,o,1
184.343,p,1
189.662,q,1
192.463,p,1
212.341,q,1
221.585,p,1
229.423,q,1
249.025,p,1
249.581,q,1
266.665,p,1
279.825,q,1
337.782,p,1
339.461,q,1
347.302,w,1
349.541,q,1
352.342,p,1
354.585,q,1
357.102,p,1
374.463,q,1
380.62,p,1
388.185,q,1
394.06,p,1
402.462,q,1
408.905,p,1
419.82,q,1
423.182,p,1
431.023,q,1
434.945,p,1
448.66,q,1
474.141,p,1
506.145,q,1
509.225,p,1
510.9,q,1
522.942,p,1
539.461,q,1
541.145,w,1
543.101,q,1
546.18,w,1
550.103,q,1
555.984,p,1
566.9,q,1
573.62,p,1
586.502,q,1
595.46,p,1
646.243,END,0
