time,code,class
39.462,o,1
41.424,p,1
43.662,o,1
45.06,w,1
85.942,q,1
87.343,w,1
88.461,q,1
91.825,w,1
103.945,q,1
105.342,w,1
110.664,o,1
111.221,w,1
113.745,o,1
114.301,w,1
124.664,o,1
126.061,q,1
128.022,p,1
131.385,o,1
131.941,p,1
132.781,o,1
135.024,w,1
140.901,q,1
142.303,w,1
144.545,q,1
152.384,w,1
152.943,o,1
153.501,p,1
157.42,o,1
159.665,w,1
164.7,q,1
168.062,w,1
180.945,o,1
182.62,p,1
191.86,q,1
203.345,p,1
204.742,q,1
205.862,p,1
215.66,o,1
217.905,w,1
223.5,q,1
238.344,p,1
239.745,q,1
253.462,p,1
262.42,q,1
275.301,p,1
286.221,o,1
289.304,w,1
301.625,q,1
314.5,w,1
319.265,o,1
321.5,p,1
322.901,o,1
325.145,w,1
330.182,o,1
332.143,p,1
334.385,o,1
336.622,w,1
343.902,q,1
354.263,w,1
357.903,q,1
364.624,p,1
381.705,o,1
384.224,w,1
385.621,o,1
390.382,p,1
403.545,q,1
404.383,w,1
406.9,q,1
413.62,p,1
417.821,o,1
418.942,p,1
421.46,q,1
425.663,p,1
434.905,o,1
439.101,w,1
444.145,o,1
446.944,w,1
456.185,q,1
462.622,w,1
463.461,q,1
495.385,p,1
511.341,o,1
514.425,w,1
516.94,o,1
518.625,p,1
520.025,q,1
521.145,w,1
521.705,o,1
522.825,p,1
523.945,w,1
524.78,q,1
526.18,w,1
541.581,q,1
545.78,w,1
547.744,p,1
551.941,o,1
553.625,w,1
558.381,q,1
559.505,w,1
563.145,q,1
567.625,w,1
568.18,o,1
571.545,p,1
589.74,o,1
590.302,p,1
596.185,o,1
597.582,w,1
603.18,q,1
605.985,w,1
609.345,o,1
613.265,p,1
614.945,o,1
616.9,w,1
632.585,q,1
650.781,p,1
660.021,q,1
673.465,p,1
677.662,q,1
687.932,END,0
