time,code,class
49.46,p,1
51.425,o,1
52.544,w,1
66.821,q,1
73.262,p,1
78.581,o,1
79.425,w,1
91.464,q,1
117.224,p,1
126.461,o,1
129.541,w,1
130.1,q,1
131.225,w,1
139.345,q,1
162.025,w,1
183.022,q,1
190.02,o,1
190.585,p,1
191.421,q,1
195.341,w,1
201.224,o,1
203.462,p,1
211.025,q,1
218.301,w,1
243.785,q,1
248.542,w,1
249.104,o,1
250.505,w,1
261.425,q,1
273.185,w,1
274.02,q,1
290.184,w,1
294.385,q,1
309.225,w,1
317.341,q,1
320.422,w,1
324.903,q,1
327.141,p,1
328.542,o,1
330.221,p,1
343.105,q,1
344.505,w,1
354.581,q,1
355.422,w,1
356.82,q,1
365.785,w,1
379.224,q,1
380.623,p,1
381.463,o,1
383.025,p,1
386.38,o,1
394.781,q,1
397.864,w,1
407.705,o,1
411.623,w,1
413.02,q,1
414.144,w,1
415.825,q,1
423.661,w,1
426.18,q,1
439.341,p,1
441.585,q,1
446.621,w,1
448.865,q,1
454.185,p,1
456.705,q,1
483.301,p,1
489.742,q,1
493.384,p,1
495.061,q,1
499.541,p,1
519.145,q,1
529.22,p,1
530.902,q,1
544.221,w,1
545.342,q,1
582.342,p,1
583.465,q,1
585.424,p,1
602.785,o,1
604.741,w,1
616.505,q,1
626.865,w,1
640.02,q,1
641.985,w,1
650.105,o,1
652.625,p,1
654.021,o,1
655.982,p,1
658.783,w,1
668.025,q,1
668.582,w,1
669.982,p,1
673.065,o,1
674.184,p,1
684.821,w,1
686.505,q,1
688.185,w,1
696.86,q,1
707.22,END,0
