time,code,class
30.483, o,1
42.303, w,1
53.502,q,1
57.98, p,1
61.905, o,1
68.342, p,1
80.38, o,1
82.343, w,1
82.902,q,1
143.543, o,1
143.824, p,1
149.705, o,1
152.222, w,1
155.904,q,1
173.62, p,1
178.663, o,1
180.343, p,1
182.305,q,1
313.704, p,1
326.585,q,1
329.945, p,1
361.021, o,1
361.58,q,1
367.744, p,1
370.823,q,1
374.18, p,1
376.425,q,1
385.341, p,1
403.825,q,1
405.22, w,1
411.665,q,1
412.22, p,1
412.501,q,1
416.742, p,1
425.421, o,1
427.38, p,1
430.461, w,1
437.184,q,1
437.461, p,1
446.421,q,1
448.381, p,1
450.623,q,1
460.98, p,1
469.66,q,1
471.061, p,1
496.265, o,1
498.785,q,1
502.705, w,1
511.384,q,1
514.743, p,1
520.062,q,1
526.223, p,1
532.384, o,1
533.224, p,1
537.423,q,1
554.305, p,1
569.144,q,1
574.185, w,1
576.423,q,1
577.541, w,1
579.224,q,1
584.783, p,1
597.944,q,1
605.503, p,1
675.98,END,0
