time,code,class
31.424, w,1
55.785, o,1
56.902, p,1
70.905, w,1
86.021, o,1
86.303, p,1
98.064,q,1
101.705, w,1
105.901,q,1
108.141, w,1
108.702,q,1
110.381, w,1
112.06, o,1
112.62, p,1
117.101, o,1
117.94, p,1
123.265,q,1
131.102, w,1
149.221, o,1
150.061, p,1
160.142,q,1
165.745, w,1
166.862,q,1
169.381, w,1
173.304,q,1
175.822, w,1
178.34,q,1
180.024, p,1
192.343,q,1
204.385, w,1
208.58,q,1
210.54, w,1
213.34,q,1
215.023, p,1
215.862, o,1
221.743, p,1
224.544,q,1
240.784, w,1
243.021, p,1
246.38, w,1
249.465, o,1
251.425,q,1
255.901, p,1
259.261,q,1
271.301, w,1
273.824, p,1
304.345, o,1
306.301, w,1
308.542,q,1
312.465, p,1
317.223,q,1
335.425, w,1
336.82,q,1
339.06, w,1
341.583, p,1
344.102, w,1
347.181,q,1
375.743, w,1
376.584,q,1
381.902, w,1
384.425,q,1
386.945, p,1
389.5, w,1
390.9,q,1
400.182, w,1
402.141,q,1
404.382, p,1
409.145, o,1
409.701,q,1
429.303, w,1
430.141,q,1
430.704, p,1
433.222,q,1
434.343, p,1
439.38, o,1
446.383, p,1
450.02, o,1
453.103,q,1
454.504, w,1
457.582,q,1
487.66, w,1
489.344,q,1
490.183, p,1
494.941,q,1
495.502, p,1
499.142,q,1
500.543, p,1
512.304, w,1
513.705, p,1
539.184, o,1
541.423, p,1
543.662,q,1
557.101, w,1
557.944,q,1
613.703, w,1
614.542,q,1
615.383, p,1
616.784,q,1
677.66,END,0
