time,code,class
50.726, w,1
53.385,q,1
63.942, w,1
65.062,q,1
65.905, w,1
67.583,q,1
88.305, w,1
88.305,q,1
95.062, w,1
97.862,q,1
116.625, w,1
122.024,q,1
122.3, w,1
122.864,q,1
143.58, w,1
148.62,q,1
165.704, w,1
176.903,q,1
182.221, w,1
192.584,q,1
201.822, p,1
202.103, o,1
202.103, w,1
214.785, o,1
217.582, p,1
217.582, o,1
218.145, w,1
218.985,q,1
223.504, w,1
225.181,q,1
226.3, w,1
228.823,q,1
245.622, w,1
248.143,q,1
252.623, w,1
256.54,q,1
271.7, w,1
277.863,q,1
295.222, w,1
308.944,q,1
312.025, p,1
313.423, o,1
313.981, w,1
316.22,q,1
320.581, w,1
330.663,q,1
336.823, w,1
342.423,q,1
356.221, w,1
366.023,q,1
383.381, w,1
396.821,q,1
403.545, w,1
409.984,q,1
415.584, w,1
417.264,q,1
425.384, w,1
433.783,q,1
442.461, w,1
450.826,q,1
460.901, w,1
470.704,q,1
473.223, w,1
478.544,q,1
495.344, w,1
521.104,q,1
529.504, w,1
546.581,q,1
556.662, w,1
562.261,q,1
564.22, w,1
564.784, o,1
566.464, p,1
570.102, o,1
571.222, w,1
571.783,q,1
586.621, p,1
598.661, o,1
598.943, p,1
611.824,q,1
612.66, w,1
624.144,q,1
633.942, w,1
643.263,q,1
656.14, w,1
669.305,q,1
681.258,END,0
