time,code,class
31.885, w,1
35.824,q,1
58.221, w,1
63.823, o,1
64.104, p,1
67.463, o,1
69.422, w,1
81.183,q,1
85.065, w,1
85.342,q,1
88.702, w,1
102.704,q,1
108.301, w,1
109.424, o,1
110.261, w,1
141.065,q,1
141.621, w,1
142.463,q,1
157.542, w,1
173.22,q,1
174.062, w,1
178.541,q,1
182.183, w,1
183.025,q,1
187.225, w,1
202.901,q,1
210.185, p,1
223.625,q,1
227.544, w,1
230.903,q,1
233.701, w,1
234.544,q,1
237.901, w,1
239.583,q,1
240.141, w,1
244.06,q,1
249.384, w,1
260.3,q,1
262.543, w,1
265.903,q,1
267.02, w,1
305.942,q,1
358.624, w,1
365.902,q,1
366.744, w,1
369.263,q,1
378.221, p,1
387.465, o,1
388.302, p,1
389.984,q,1
391.94, w,1
399.22,q,1
405.101, p,1
414.061, o,1
418.542,q,1
419.94, w,1
422.465,q,1
450.582, p,1
451.424, o,1
451.702, w,1
453.102,q,1
461.784, p,1
466.542,q,1
667.165,END,0
