time,code,class
15.201, o,1
17.744, w,1
21.104,q,1
28.103, w,1
41.263,q,1
56.143, w,1
69.036,q,1
74.063, w,1
81.625,q,1
85.825, w,1
89.181,q,1
93.397, w,1
102.905,q,1
105.423, w,1
118.024,q,1
126.983, w,1
132.264,q,1
134.503, w,1
146.781,q,1
153.501, w,1
157.7,q,1
172.26, w,1
206.18,q,1
210.103, p,1
216.542, o,1
219.62, w,1
226.063,q,1
228.023, w,1
233.06,q,1
237.26, w,1
242.303,q,1
242.862, w,1
256.86,q,1
265.824, w,1
289.065,q,1
296.063, w,1
299.423,q,1
300.544, w,1
312.821, o,1
316.18, p,1
318.703, o,1
325.423, p,1
327.383, o,1
330.184, w,1
343.024, o,1
343.86, p,1
349.463, o,1
359.265, w,1
362.063,q,1
369.502, w,1
372.863,q,1
544.183, o,1
544.745, w,1
549.183,q,1
550.302, w,1
560.382,q,1
561.783, w,1
562.663, o,1
565.184, p,1
565.464, o,1
573.86, w,1
581.984,q,1
582.544, o,1
583.381, w,1
584.501,q,1
587.864, p,1
589.54, o,1
592.901, p,1
601.58,q,1
602.421, w,1
609.702, o,1
611.104, p,1
613.06,q,1
616.143, p,1
618.662, o,1
623.424, p,1
629.253,q,1
630.788, w,1
