time,code,class
41.013, o,1
41.134, p,1
43.943, o,1
45.065, w,1
83.705,q,1
86.502, w,1
88.462,q,1
91.822, w,1
104.144,q,1
105.82, w,1
111.143, o,1
111.423, w,1
113.663, o,1
114.501, w,1
124.862, o,1
125.704,q,1
128.222, p,1
131.305, o,1
132.142, p,1
132.705, o,1
135.225, w,1
141.102,q,1
141.944, w,1
145.02,q,1
152.302, w,1
152.865, o,1
153.424, p,1
157.342, o,1
159.865, w,1
164.904,q,1
167.982, w,1
181.145, o,1
182.82, p,1
192.345,q,1
203.42, p,1
204.543,q,1
206.223, p,1
215.742, o,1
217.703, w,1
223.58,q,1
238.425, p,1
239.823,q,1
253.822, p,1
262.223,q,1
275.382, p,1
286.582, o,1
289.383, w,1
301.983,q,1
314.583, w,1
319.343, o,1
321.583, p,1
322.703, o,1
325.503, w,1
330.263, o,1
332.504, p,1
334.181, o,1
336.702, w,1
343.701,q,1
354.345, w,1
357.983,q,1
364.703, p,1
381.783, o,1
384.303, w,1
385.702, o,1
389.343, p,1
403.625,q,1
404.183, w,1
407.26,q,1
413.981, p,1
417.903, o,1
418.464, p,1
421.543,q,1
425.465, p,1
434.983, o,1
438.905, w,1
444.501, o,1
447.023, w,1
456.543,q,1
462.144, w,1
463.263,q,1
495.183, p,1
511.143, o,1
514.782, w,1
517.023, o,1
518.703, p,1
520.66,q,1
521.225, w,1
521.785, o,1
522.62, p,1
524.025, w,1
541.385,q,1
543.621, w,1
547.822, p,1
551.741, o,1
553.985, w,1
562.66,q,1
566.025, w,1
568.265, o,1
571.625, p,1
590.105, o,1
590.382, p,1
595.422, o,1
597.385, w,1
603.264,q,1
605.505, w,1
609.425, o,1
613.625, p,1
614.745, o,1
617.262, w,1
632.665,q,1
650.864, p,1
659.824,q,1
673.82, p,1
677.745,q,1
687.98,END,0
