time,code,class
41.262, w,1
49.663,q,1
124.143, w,1
125.265,q,1
130.584, w,1
177.345,q,1
202.264, p,1
204.223, o,1
204.505, p,1
205.06, o,1
205.34, w,1
231.665,q,1
235.865, w,1
262.185, o,1
263.021, p,1
273.105, o,1
276.183, p,1
277.305, w,1
279.262,q,1
305.021, w,1
324.064,q,1
336.665, w,1
338.343,q,1
347.86, w,1
350.945,q,1
447.262, o,1
448.94, p,1
452.023, o,1
452.305, p,1
460.7,q,1
474.142, p,1
481.425,q,1
491.505, p,1
517.262, o,1
518.385, w,1
527.625,q,1
530.42, w,1
532.662,q,1
545.505, p,1
546.625, o,1
548.025, p,1
556.145,q,1
564.824, p,1
567.343,q,1
608.501, w,1
611.3,q,1
621.101, p,1
630.345,q,1
659.493, o,1
664.105,END,0
