time,code,class
53.545, w,1
55.78,q,1
67.623, w,1
102.621,q,1
137.905, w,1
160.581, o,1
166.461, w,1
167.862,q,1
182.143, p,1
184.385, w,1
202.305,q,1
217.425, p,1
222.18, w,1
244.581,q,1
263.661, o,1
263.941, p,1
274.541, o,1
275.665, w,1
279.86,q,1
284.863, p,1
288.225, o,1
289.064, w,1
324.625,q,1
338.345, w,1
364.5,q,1
371.784, p,1
384.385, o,1
385.781, w,1
389.702,q,1
402.583, p,1
416.022, p,1
418.265,q,1
484.625, w,1
485.743,q,1
494.142, p,1
495.543,q,1
512.344, w,1
521.861,q,1
522.983, w,1
523.825, o,1
527.18, p,1
542.863,q,1
543.984, p,1
545.945,q,1
553.824, p,1
565.305,q,1
571.18, p,1
595.825,q,1
622.7, p,1
624.101,q,1
629.145, p,1
640.065,q,1
640.901, p,1
652.385,q,1
653.784, p,1
667.221,q,1
671.421, p,1
683.745,q,1
684.498, p,1
694.18,END,0
