time,code,class
3.581, w,1
31.581, o,1
33.265, p,1
40.265, o,1
41.942, w,1
53.425,q,1
58.465, p,1
62.941, o,1
68.26, p,1
83.665,q,1
142.46, w,1
143.301,q,1
144.423, p,1
149.741, o,1
152.541, w,1
155.905,q,1
174.105, p,1
178.865, o,1
180.542, p,1
182.505,q,1
314.182, p,1
326.501,q,1
331.543, p,1
362.063,q,1
368.501, p,1
371.58,q,1
374.664, p,1
376.905,q,1
385.864, p,1
405.745,q,1
405.745, w,1
412.465, p,1
414.145,q,1
416.945, p,1
426.461, o,1
427.3, p,1
431.221, w,1
437.66, p,1
446.345,q,1
449.145, p,1
451.38,q,1
460.903, p,1
469.865,q,1
471.545, p,1
497.061, o,1
499.025,q,1
502.945, w,1
510.5,q,1
514.71, p,1
520.025,q,1
526.184, p,1
532.9, o,1
534.023, p,1
537.104,q,1
554.745, p,1
569.021,q,1
574.623, w,1
574.904,q,1
584.982, p,1
597.865,q,1
605.702, p,1
675.806,END,0
