time,code,class
20.422, w,1
50.18,q,1
50.745, w,1
58.581,q,1
70.904, w,1
75.102,q,1
79.305, w,1
92.181,q,1
93.86, w,1
101.145,q,1
118.46, w,1
124.345,q,1
131.065, w,1
134.145,q,1
143.385, w,1
155.422,q,1
157.103, p,1
157.385, o,1
157.943, w,1
160.745,q,1
163.543, w,1
164.662,q,1
167.744, w,1
168.304,q,1
173.621, w,1
183.14,q,1
196.022, w,1
215.341,q,1
220.385, w,1
235.743, p,1
239.663, o,1
243.305, p,1
248.06,q,1
256.744, w,1
258.705,q,1
275.225, w,1
276.625,q,1
279.144, o,1
282.5, w,1
283.905,q,1
298.18, w,1
300.145, o,1
301.263, w,1
302.663,q,1
438.265, w,1
447.225,q,1
453.665, w,1
464.3,q,1
469.342, w,1
469.625,q,1
507.704, w,1
511.342,q,1
515.262, w,1
520.021,q,1
525.901, w,1
527.02, p,1
535.422,q,1
536.545, w,1
539.345, p,1
546.623,q,1
551.665, p,1
554.465, o,1
554.741, p,1
557.541,q,1
559.505, p,1
563.981, o,1
564.265, p,1
567.625,q,1
571.26, p,1
578.821,q,1
580.785, p,1
588.06,q,1
597.585, o,1
598.143, p,1
606.262,q,1
625.58, o,1
626.98, p,1
629.222, o,1
629.783, p,1
632.58,q,1
642.105, p,1
649.105,q,1
651.625, p,1
658.625,q,1
661.14, p,1
662.823, o,1
664.225,q,1
672.625, p,1
679.465,q,1
681.309, p,1
683.467, o,1
684.386, w,1
686.567, w,1
686.567,END,0
