time,code,class
50.665, w,1
65.505, o,1
65.785, p,1
66.903, w,1
67.181,q,1
68.584,q,1
69.14, w,1
70.824,q,1
76.705, w,1
80.62,q,1
84.825, p,1
85.985,q,1
86.26, w,1
88.785,q,1
92.985, w,1
94.941, o,1
95.505, w,1
96.905,q,1
103.062, w,1
106.145,q,1
122.945, w,1
128.545,q,1
132.18, w,1
138.905,q,1
143.664, w,1
144.781,q,1
152.904, w,1
156.261,q,1
174.745, w,1
175.024,q,1
178.1, w,1
191.345,q,1
207.865, w,1
209.821,q,1
211.503, w,1
219.903,q,1
221.581, w,1
224.945,q,1
228.865, w,1
229.42,q,1
251.54, w,1
252.94,q,1
256.022, w,1
259.664,q,1
266.143,q,1
271.185, w,1
273.423,q,1
294.141, w,1
295.265, o,1
296.105, p,1
311.225,q,1
313.185, w,1
318.225,q,1
319.062, p,1
331.385,q,1
334.744, w,1
337.545,q,1
358.022, w,1
358.865, p,1
370.623,q,1
375.385, w,1
377.341,q,1
382.665, p,1
391.34,q,1
394.703, p,1
404.225,q,1
410.105, w,1
412.062,q,1
424.385, p,1
435.943,q,1
440.985, w,1
445.744,q,1
447.144, w,1
450.783,q,1
480.463, w,1
482.425, p,1
485.505, o,1
488.024, p,1
495.581,q,1
508.46, w,1
509.86,q,1
583.304, p,1
592.821,q,1
651.105, w,1
651.942, o,1
652.225, p,1
660.342,q,1
663.705, w,1
665.66, p,1
675.744,q,1
680.61, p,1
690.446,END,0
