time,code,class
15.062, w,1
35.864,q,1
58.262, w,1
64.425, o,1
64.701, p,1
67.225, o,1
71.145, w,1
81.225,q,1
89.065, w,1
102.785,q,1
108.381,q,1
110.063, o,1
110.62, w,1
141.145,q,1
141.705, w,1
142.822,q,1
157.941, w,1
173.065,q,1
174.741, w,1
179.224,q,1
182.865, w,1
184.541,q,1
187.625, w,1
190.141,q,1
191.542, w,1
203.26,q,1
210.54, p,1
224.261,q,1
227.624, w,1
231.261,q,1
239.105, w,1
244.145,q,1
249.744, w,1
259.823,q,1
263.463, w,1
265.981,q,1
267.663, w,1
306.583,q,1
359.221, w,1
365.941,q,1
367.62, w,1
369.58,q,1
378.824, p,1
387.501, o,1
388.622, p,1
390.862,q,1
391.985, w,1
399.265,q,1
405.423, p,1
414.105, o,1
417.741, p,1
419.141, w,1
422.784,q,1
450.501, p,1
452.46, w,1
453.025,q,1
461.985, p,1
466.461,q,1
667.094,END,0
