time,code,class
26.465,q,1
29.261, w,1
41.585,q,1
56.703, w,1
69.585,q,1
74.621, w,1
82.461,q,1
86.945, w,1
91.422,q,1
93.662, w,1
102.345,q,1
105.705, w,1
118.022,q,1
124.185, w,1
132.582,q,1
134.825, w,1
146.583,q,1
152.744, w,1
173.14, w,1
179.861, w,1
190.224,q,1
198.341, w,1
206.184,q,1
210.945, p,1
216.542, o,1
220.185, w,1
226.065,q,1
228.304, w,1
233.345,q,1
238.065, w,1
257.342,q,1
266.02, w,1
289.26,q,1
296.545, w,1
312.785, o,1
315.865, p,1
319.221, o,1
325.665, p,1
330.141, w,1
344.105, p,1
349.705, o,1
354.465, p,1
359.505, w,1
362.301,q,1
369.864, w,1
371.542,q,1
545.105, o,1
545.665, w,1
549.583,q,1
561.345,q,1
563.022, o,1
574.505, w,1
582.623, o,1
583.745, w,1
584.865,q,1
588.224, p,1
590.421, o,1
602.745, w,1
611.421, o,1
611.98, p,1
613.661,q,1
616.744, p,1
620.103, o,1
623.744, p,1
630.603, w,1
637.62,END,0
