time,code,class
34.303, w,1
36.822,q,1
123.981, w,1
125.145,q,1
129.064, w,1
178.065,q,1
202.984, p,1
203.903, o,1
204.182, p,1
205.024, o,1
206.143, w,1
231.465,q,1
235.944, w,1
261.465, o,1
263.425, p,1
273.222, o,1
276.185, p,1
277.025, w,1
277.581,q,1
305.025, w,1
324.903,q,1
336.18, w,1
338.42,q,1
348.225, w,1
349.342,q,1
446.62, w,1
447.745, o,1
448.304, p,1
451.664, o,1
452.22, p,1
460.1,q,1
474.18, p,1
482.304,q,1
491.263, p,1
516.182, o,1
518.422, w,1
527.38,q,1
530.185, w,1
532.703,q,1
545.825, p,1
546.101, o,1
548.341, p,1
555.621,q,1
565.981, p,1
566.545,q,1
607.742, w,1
611.1,q,1
620.905, p,1
627.862,q,1
657.508, w,1
659.388, o,1
664.083,END,0
