time,code,class
32.864, w,1
55.862, o,1
56.705, p,1
70.145, o,1
71.544, w,1
86.664, o,1
86.945, p,1
98.422,q,1
102.905, w,1
106.265,q,1
111.582, w,1
112.702, o,1
112.982, p,1
117.741, o,1
118.3, p,1
124.464,q,1
131.742, w,1
149.94, o,1
150.221, p,1
160.024,q,1
166.464, w,1
167.025,q,1
170.38, w,1
173.745,q,1
176.545, w,1
178.784,q,1
180.105, p,1
193.304,q,1
204.22, w,1
209.261,q,1
210.945, w,1
213.74,q,1
215.424, p,1
215.984, o,1
221.862, p,1
225.501,q,1
240.385, w,1
242.904, p,1
247.101, w,1
249.905, o,1
252.985,q,1
256.065, p,1
263.621,q,1
272.865, w,1
274.544, o,1
274.822, p,1
305.345, o,1
307.022, w,1
308.705,q,1
313.185, p,1
317.941,q,1
336.425, w,1
336.701,q,1
339.505, w,1
342.58, o,1
342.86, p,1
344.261, w,1
347.905,q,1
376.18, w,1
378.421,q,1
382.344, w,1
388.505, p,1
390.744,q,1
400.823, w,1
405.862, p,1
409.22, o,1
410.901, w,1
411.463,q,1
430.781, p,1
432.745,q,1
435.825, p,1
439.183, o,1
447.025, p,1
450.665, o,1
452.385, w,1
458.344,q,1
488.302, w,1
490.646, p,1
493.143, o,1
497.341, p,1
498.744,q,1
501.26, p,1
510.501,q,1
514.704, p,1
519.18, o,1
520.585, p,1
540.025, o,1
542.265, p,1
544.503,q,1
558.264, w,1
558.824,q,1
614.064, w,1
620.501,q,1
677.605,END,0
