time,code,class
36.267, w,1
37.625,q,1
41.825, w,1
42.663,q,1
48.825, w,1
52.741,q,1
55.825, w,1
58.663,q,1
81.661, p,1
130.904, o,1
134.821, w,1
137.901,q,1
156.864, w,1
160.224,q,1
216.385, w,1
224.783, o,1
225.345, p,1
248.861,q,1
251.665, w,1
267.905,q,1
289.464, w,1
291.145, o,1
292.824, p,1
295.06,q,1
302.625, p,1
331.78,q,1
332.9, w,1
358.94, p,1
376.864,q,1
377.423, w,1
386.945,q,1
394.221, w,1
398.422,q,1
408.501, w,1
410.46,q,1
475.465, w,1
482.464,q,1
491.705, p,1
492.822, o,1
495.063, w,1
496.185,q,1
498.141, w,1
499.262,q,1
500.941, p,1
524.784,q,1
524.784, w,1
532.342,q,1
533.18, p,1
535.705, o,1
539.624, w,1
539.9,q,1
554.181, p,1
555.025,q,1
576.86, w,1
578.544,q,1
595.623, w,1
605.423,q,1
626.145, w,1
642.665, o,1
643.78, w,1
645.185, o,1
646.865, w,1
647.981,q,1
653.583, p,1
668.482,END,0
