time,code,class
45.861, w,1
58.542,q,1
71.425, w,1
75.06,q,1
78.984, w,1
92.781,q,1
94.462, w,1
105.94,q,1
118.822, w,1
124.144,q,1
130.864, w,1
133.664,q,1
143.461, w,1
156.901,q,1
157.182, p,1
157.744, o,1
158.583, w,1
161.105,q,1
163.623, w,1
164.183,q,1
173.7, w,1
183.785,q,1
195.82, w,1
215.982,q,1
220.74, w,1
236.105, o,1
236.66, p,1
239.185, o,1
243.385, p,1
246.462,q,1
247.023, w,1
248.14,q,1
257.385, w,1
260.464,q,1
275.86, w,1
279.225, o,1
282.86, w,1
285.1,q,1
298.782, w,1
302.705,q,1
438.584, w,1
449.221,q,1
454.542, w,1
464.704,q,1
508.183, w,1
510.985,q,1
516.585, w,1
521.06,q,1
525.66, w,1
526.785, o,1
528.185, p,1
534.625,q,1
536.305, w,1
539.942, o,1
539.942, p,1
546.661,q,1
551.985, p,1
554.505, o,1
554.505, p,1
557.585,q,1
559.825, p,1
563.744, o,1
564.025, p,1
566.825,q,1
571.581, p,1
578.862,q,1
580.545, p,1
587.825,q,1
597.625, o,1
597.903, p,1
606.025,q,1
625.425, o,1
626.545, p,1
629.343, o,1
629.625, p,1
632.143,q,1
642.505, p,1
648.945,q,1
651.742, p,1
659.3,q,1
660.701, p,1
663.22, o,1
663.784, p,1
664.62,q,1
673.02, p,1
679.86,q,1
681.39, p,1
683.544, o,1
684.152, w,1
686.624,END,0
