time,code,class
50.901, w,1
53.144,q,1
66.024, w,1
67.984,q,1
88.985, w,1
92.06,q,1
95.982, w,1
103.543,q,1
116.425, w,1
124.541,q,1
144.425, w,1
148.905,q,1
166.82, w,1
176.9,q,1
185.86, w,1
192.861,q,1
202.661, p,1
201.701, p,1
201.98, o,1
202.821, w,1
215.145, o,1
217.665, p,1
217.941, o,1
219.061, w,1
219.342,q,1
223.865, w,1
225.26,q,1
227.221, w,1
230.305,q,1
245.204, w,1
248.823,q,1
253.022, w,1
257.225,q,1
293.701, w,1
309.661,q,1
312.483, p,1
313.861, o,1
314.981, w,1
316.38,q,1
320.301, w,1
332.064,q,1
337.1, w,1
342.425,q,1
359.461, w,1
367.02,q,1
392.221, w,1
398.945,q,1
408.184, w,1
410.425,q,1
431.98, w,1
435.065,q,1
447.98, w,1
452.465,q,1
467.021, w,1
470.941,q,1
495.862, w,1
521.143,q,1
530.383, w,1
548.861,q,1
557.261, w,1
565.381, o,1
565.945, p,1
570.981, o,1
572.1, w,1
572.38,q,1
586.663, p,1
612.425,q,1
612.703, w,1
627.584,q,1
635.141, w,1
643.823,q,1
658.384, w,1
670.985,q,1
680.293,END,0
