time,code,class
31.985, w,1
35.985,q,1
59.221, w,1
64.343, o,1
64.623, p,1
67.985, o,1
71.061, w,1
81.981,q,1
88.981, w,1
105.505,q,1
108.06, w,1
108.903, o,1
110.581, w,1
142.785,q,1
147.825, w,1
173.581,q,1
174.981, w,1
180.025,q,1
183.38, w,1
184.505,q,1
190.38, w,1
205.221,q,1
210.545, p,1
224.22,q,1
228.145, w,1
231.5,q,1
240.183, w,1
244.945,q,1
249.984, w,1
260.621,q,1
263.144, w,1
308.785,q,1
358.581, w,1
370.625,q,1
378.744, p,1
390.302,q,1
391.705, w,1
400.101,q,1
405.984, p,1
412.702, o,1
419.701, p,1
419.984,q,1
420.261, w,1
424.46,q,1
451.342, p,1
451.903, o,1
453.581, w,1
456.945,q,1
462.263, p,1
467.304,q,1
667.207,END,0
